2026-03-05 15:23:37,987 | INFO     | ai_chat.backend | HTTP POST /api/agent/chat status=200 ip=127.0.0.1 duration_ms=4.25
2026-03-05 15:23:39,681 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:23:41,144 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=bc19f474db4049858ef4787c0b667168 "HTTP/1.1 202 Accepted"
2026-03-05 15:23:41,505 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=bc19f474db4049858ef4787c0b667168 "HTTP/1.1 202 Accepted"
2026-03-05 15:23:41,865 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=bc19f474db4049858ef4787c0b667168 "HTTP/1.1 202 Accepted"
2026-03-05 15:24:23,275 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:24:24,706 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=df01df901bad468eb265eb1375320836 "HTTP/1.1 202 Accepted"
2026-03-05 15:24:25,072 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=df01df901bad468eb265eb1375320836 "HTTP/1.1 202 Accepted"
2026-03-05 15:24:25,424 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=df01df901bad468eb265eb1375320836 "HTTP/1.1 202 Accepted"
2026-03-05 15:24:37,739 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=5.54
2026-03-05 15:24:37,742 | INFO     | ai_chat.backend | HTTP GET /api/conversations/4ab01f50-71c1-46d9-8e7c-ff51e7fffc3d status=200 ip=127.0.0.1 duration_ms=2.39
2026-03-05 15:27:51,172 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=16.82
2026-03-05 15:27:51,180 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=1.87
2026-03-05 15:28:06,585 | INFO     | ai_chat.backend | HTTP POST /api/agent/chat status=200 ip=127.0.0.1 duration_ms=4.21
2026-03-05 15:28:08,174 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:28:09,573 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=e79847654e1142a998c2c17e38bb4993 "HTTP/1.1 202 Accepted"
2026-03-05 15:28:09,912 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=e79847654e1142a998c2c17e38bb4993 "HTTP/1.1 202 Accepted"
2026-03-05 15:28:10,249 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=e79847654e1142a998c2c17e38bb4993 "HTTP/1.1 202 Accepted"
2026-03-05 15:28:34,320 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:28:35,700 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=e429b4b0a4ca4e97a3c3d6a26f14a915 "HTTP/1.1 202 Accepted"
2026-03-05 15:28:36,031 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=e429b4b0a4ca4e97a3c3d6a26f14a915 "HTTP/1.1 202 Accepted"
2026-03-05 15:28:36,368 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=e429b4b0a4ca4e97a3c3d6a26f14a915 "HTTP/1.1 202 Accepted"
2026-03-05 15:29:02,973 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:29:04,369 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=8ad26e64ff964f2daa7e151e9c9b45c5 "HTTP/1.1 202 Accepted"
2026-03-05 15:29:04,707 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=8ad26e64ff964f2daa7e151e9c9b45c5 "HTTP/1.1 202 Accepted"
2026-03-05 15:29:05,042 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=8ad26e64ff964f2daa7e151e9c9b45c5 "HTTP/1.1 202 Accepted"
2026-03-05 15:29:13,162 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:29:14,548 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=4534a88e9d004531a195cdaf33e5556c "HTTP/1.1 202 Accepted"
2026-03-05 15:29:14,885 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=4534a88e9d004531a195cdaf33e5556c "HTTP/1.1 202 Accepted"
2026-03-05 15:29:15,219 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=4534a88e9d004531a195cdaf33e5556c "HTTP/1.1 202 Accepted"
2026-03-05 15:31:31,020 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:31:32,464 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=7cee56214e50403f92bcf20b2a52fdcb "HTTP/1.1 202 Accepted"
2026-03-05 15:31:32,817 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=7cee56214e50403f92bcf20b2a52fdcb "HTTP/1.1 202 Accepted"
2026-03-05 15:31:33,164 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=7cee56214e50403f92bcf20b2a52fdcb "HTTP/1.1 202 Accepted"
2026-03-05 15:33:42,975 | INFO     | ai_chat.backend | HTTP GET /api/conversations/4ab01f50-71c1-46d9-8e7c-ff51e7fffc3d status=200 ip=127.0.0.1 duration_ms=5.91
2026-03-05 15:33:46,267 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=5.39
2026-03-05 15:33:46,274 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=2.50
2026-03-05 15:34:01,485 | INFO     | ai_chat.backend | HTTP OPTIONS /api/agent/chat status=200 ip=127.0.0.1 duration_ms=0.83
2026-03-05 15:34:01,493 | INFO     | ai_chat.backend | HTTP POST /api/agent/chat status=200 ip=127.0.0.1 duration_ms=4.83
2026-03-05 15:34:03,068 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:34:04,488 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=9a966c809203415b90a9a605a58b887b "HTTP/1.1 202 Accepted"
2026-03-05 15:34:04,831 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=9a966c809203415b90a9a605a58b887b "HTTP/1.1 202 Accepted"
2026-03-05 15:34:05,175 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=9a966c809203415b90a9a605a58b887b "HTTP/1.1 202 Accepted"
2026-03-05 15:34:31,475 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
2026-03-05 15:34:33,320 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=ae813053e5be46b7b8be5c15aac4e38e "HTTP/1.1 202 Accepted"
2026-03-05 15:34:33,689 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=ae813053e5be46b7b8be5c15aac4e38e "HTTP/1.1 202 Accepted"
